Internações SUS 
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2007
"Munic Resid SP";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"350010 Adamantina";0;2;0;0;0;0;0;0;2
"350020 Adolfo";0;0;0;0;1;0;0;0;1
"350030 Aguaí";3;0;2;8;0;2;1;4;20
"350040 Águas da Prata";4;0;3;2;0;0;0;0;9
"350050 Águas de Lindóia";29;13;30;13;23;17;7;3;135
"350055 Águas de Santa Bárbara";0;0;0;4;2;4;0;0;10
"350070 Agudos";3;0;0;0;0;0;9;16;28
"350080 Alfredo Marcondes";0;0;0;0;1;0;0;0;1
"350090 Altair";7;1;2;1;2;0;0;0;13
"350110 Alto Alegre";0;0;1;1;0;0;1;0;3
"350115 Alumínio";1;2;2;3;0;0;0;0;8
"350120 Álvares Florence";0;0;0;1;1;0;0;0;2
"350130 Álvares Machado";2;0;3;1;2;2;0;0;10
"350140 Álvaro de Carvalho";2;0;0;0;0;0;0;0;2
"350150 Alvinlândia";0;0;0;0;0;2;2;0;4
"350160 Americana";290;345;206;0;1;0;0;0;842
"350170 Américo Brasiliense";0;0;0;0;0;1;0;0;1
"350180 Américo de Campos";0;0;0;0;1;0;3;1;5
"350190 Amparo";12;12;2;10;5;13;5;3;62
"350200 Analândia";0;1;1;1;0;0;0;0;3
"350210 Andradina";0;0;0;0;1;3;0;0;4
"350220 Angatuba";2;0;3;0;21;31;27;18;102
"350230 Anhembi";1;0;0;0;0;0;0;0;1
"350240 Anhumas";0;0;0;1;3;0;0;0;4
"350250 Aparecida";3;6;0;0;1;0;1;0;11
"350260 Aparecida d'Oeste";1;0;0;1;1;0;0;0;3
"350270 Apiaí";12;14;2;0;0;0;0;0;28
"350280 Araçatuba";0;25;24;21;5;0;1;1;77
"350290 Araçoiaba da Serra";0;0;0;0;0;1;0;0;1
"350300 Aramina";10;7;2;3;7;0;0;0;29
"350310 Arandu";1;7;1;0;0;0;0;0;9
"350315 Arapeí";0;0;1;0;1;0;0;0;2
"350320 Araraquara";0;2;0;2;0;1;1;0;6
"350330 Araras";40;61;11;0;0;0;6;18;136
"350335 Arco-Íris";4;2;2;1;0;0;0;0;9
"350340 Arealva";2;0;1;0;0;0;0;0;3
