Internações SUS
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2008-2016
"Munic Resid SP";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"350020 Adolfo";0;0;1;0;0;0;0;1;1;3
"350030 Aguaí";0;1;0;0;0;0;3;3;2;9
"350040 Águas da Prata";0;2;0;0;0;0;0;1;1;4
"350050 Águas de Lindóia";12;12;7;22;26;1;9;5;4;98
"350060 Águas de São Pedro";0;1;0;0;0;1;0;1;0;3
"350070 Agudos";14;1;0;0;0;0;0;1;2;18
"350100 Altinópolis";0;0;0;0;0;0;0;1;0;1
"350110 Alto Alegre";0;0;0;0;0;0;0;0;1;1
"350120 Álvares Florence";1;0;0;0;1;0;0;0;1;3
"350160 Americana";0;0;0;0;1;0;0;4;3;8
"350170 Américo Brasiliense";0;1;0;0;0;0;0;0;0;1
"350180 Américo de Campos";0;1;3;0;0;0;0;0;0;4
"350190 Amparo";0;0;0;1;1;0;0;1;0;3
"350200 Analândia";0;0;0;0;1;0;0;0;0;1
"350210 Andradina";3;0;0;0;0;0;1;0;0;4
"350220 Angatuba";30;15;50;7;1;0;1;0;1;105
"350230 Anhembi";0;0;0;0;0;0;0;0;1;1
"350250 Aparecida";0;0;1;1;1;0;0;0;0;3
"350270 Apiaí";0;0;0;0;0;0;2;2;0;4
"350275 Araçariguama";0;0;0;0;1;0;0;0;0;1
"350280 Araçatuba";5;1;2;3;2;10;3;1;0;27
"350300 Aramina";0;0;0;1;0;0;0;0;0;1
"350320 Araraquara";0;1;0;0;0;0;0;1;0;2
"350330 Araras";4;8;15;1;5;0;9;0;0;42
"350340 Arealva";0;0;0;0;1;0;0;0;0;1
"350350 Areias";0;0;4;1;0;0;0;0;2;7
"350370 Ariranha";2;0;0;0;0;0;0;0;0;2
"350390 Arujá";1;0;1;0;0;1;0;0;0;3
"350395 Aspásia";0;0;0;1;0;0;0;0;0;1
"350400 Assis";62;64;91;53;64;44;46;30;38;492
"350410 Atibaia";2;0;2;1;0;1;0;0;0;6
"350430 Avaí";0;0;0;0;0;0;0;0;1;1
"350440 Avanhandava";0;1;0;0;0;2;0;0;0;3
"350450 Avaré";0;0;1;0;0;0;0;0;0;1
"350490 Bananal";1;0;0;0;0;0;0;0;0;1
"350530 Barra Bonita";0;4;5;1;5;3;0;0;1;19
"350550 Barretos";3;5;5;1;2;10;11;6;3;46
"350560 Barrinha";0;1;2;0;4;0;0;2;0;9
"350570 Barueri";0;0;0;0;0;2;5;1;48;56
"350590 Batatais";3;0;13;0;2;0;0;0;0;18
"350600 Bauru";7;5;3;0;1;2;1;2;1;22
"350610 Bebedouro";0;0;1;0;0;0;0;0;0;1
"350620 Bento de Abreu";0;0;0;0;1;0;0;0;0;1
"350635 Bertioga";6;5;1;0;0;1;0;0;0;13
"350650 Birigui";15;4;7;6;7;13;16;4;2;74
"350660 Biritiba-Mirim";0;0;0;0;0;0;0;0;1;1
"350670 Boa Esperança do Sul";0;0;0;1;0;0;0;0;0;1
"350680 Bocaina";5;5;1;0;0;1;0;0;0;12
"350700 Boituva";18;5;7;11;3;5;1;4;4;58
"350710 Bom Jesus dos Perdões";0;1;0;0;0;1;0;0;1;3
"350740 Borborema";1;1;0;0;0;0;0;0;0;2
"350750 Botucatu";0;1;1;0;0;0;1;2;0;5
"350760 Bragança Paulista";3;4;3;0;1;1;0;0;0;12
"350780 Brodowski";0;0;0;1;0;0;0;0;0;1
"350800 Buri";0;1;0;0;0;0;0;0;0;1
"350810 Buritama";0;0;0;0;1;0;0;0;0;1
"350820 Buritizal";0;0;0;1;0;0;0;0;0;1
"350830 Cabrália Paulista";0;0;0;2;1;0;1;0;0;4
"350840 Cabreúva";1;0;0;0;0;0;0;0;0;1
"350850 Caçapava";0;3;3;1;1;0;0;0;0;8
"350860 Cachoeira Paulista";1;0;0;1;0;0;0;1;0;3
"350920 Cajamar";0;0;0;0;0;0;0;0;1;1
"350925 Cajati";1;0;0;0;0;0;0;0;0;1
"350930 Cajobi";2;0;0;0;0;0;0;0;0;2
"350940 Cajuru";0;1;1;0;0;0;0;0;0;2
"350945 Campina do Monte Alegre";4;2;5;1;0;1;0;0;0;13
"350950 Campinas";1;3;1;4;13;13;14;5;6;60
"350960 Campo Limpo Paulista";0;0;0;0;0;0;0;1;0;1
"350970 Campos do Jordão";5;1;0;0;0;0;0;0;0;6
"350980 Campos Novos Paulista";1;0;0;0;0;0;0;0;0;1
"350995 Canas";0;3;0;1;3;1;1;1;1;11
"351000 Cândido Mota";5;9;12;9;9;1;1;4;3;53
"351010 Cândido Rodrigues";1;1;0;0;0;1;0;0;1;4
"351015 Canitar";2;0;0;0;0;0;0;0;0;2
"351020 Capão Bonito";0;0;0;0;0;0;0;0;1;1
"351030 Capela do Alto";0;0;1;0;0;0;0;0;0;1
"351040 Capivari";23;8;2;2;3;3;4;0;0;45
"351050 Caraguatatuba";1;0;16;6;0;0;0;2;2;27
"351060 Carapicuíba";2;0;0;0;1;1;2;2;33;41
"351070 Cardoso";2;2;0;1;0;0;1;0;0;6
