Internações SUS 
AIHs PagasPermanência por Munic Resid SP
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2005
"Munic Resid SP";"AIHs_Pagas";"Permanência"
"350010 Adamantina";2;6
"350020 Adolfo";1;6
"350030 Aguaí";15;46
"350040 Águas da Prata";9;20
"350050 Águas de Lindóia";125;320
"350055 Águas de Santa Bárbara";10;34
"350070 Agudos";3;26
"350080 Alfredo Marcondes";1;3
"350090 Altair";13;39
"350110 Alto Alegre";2;5
"350115 Alumínio";8;22
"350120 Álvares Florence";2;8
"350130 Álvares Machado";10;50
"350140 Álvaro de Carvalho";2;9
"350150 Alvinlândia";2;5
"350160 Americana";842;2314
"350170 Américo Brasiliense";1;4
"350180 Américo de Campos";1;3
"350190 Amparo";54;156
"350200 Analândia";3;8
"350210 Andradina";4;16
"350220 Angatuba";57;163
"350230 Anhembi";1;4
"350240 Anhumas";4;12
"350250 Aparecida";10;36
"350260 Aparecida d'Oeste";3;13
"350270 Apiaí";28;105
"350280 Araçatuba";75;262
"350290 Araçoiaba da Serra";1;4
"350300 Aramina";29;102
"350310 Arandu";9;25
"350315 Arapeí";2;6
"350320 Araraquara";5;12
"350330 Araras";112;311
"350335 Arco-Íris";9;20
"350340 Arealva";3;14
"350350 Areias";13;50
"350360 Areiópolis";16;75
"350370 Ariranha";83;276
"350380 Artur Nogueira";4;12
"350390 Arujá";44;138
"350400 Assis";683;2049
"350410 Atibaia";78;283
"350420 Auriflama";1;5
"350430 Avaí";12;51
"350440 Avanhandava";6;23
"350450 Avaré";257;838
"350460 Bady Bassitt";2;6
"350470 Balbinos";3;9
"350490 Bananal";3;7
"350510 Barbosa";5;19
"350535 Barra do Chapéu";5;20
"350550 Barretos";329;1392
"350560 Barrinha";9;71
"350570 Barueri";27;100
"350580 Bastos";15;42
"350590 Batatais";8;28
"350600 Bauru";315;1333
"350610 Bebedouro";7;14
"350640 Bilac";44;103
"350650 Birigui";292;984
"350660 Biritiba-Mirim";8;36
"350670 Boa Esperança do Sul";1;4
"350680 Bocaina";54;216
"350700 Boituva";182;686
"350720 Borá";5;18
"350740 Borborema";1;2
"350745 Borebi";1;5
"350750 Botucatu";9;36
"350760 Bragança Paulista";5;14
"350770 Braúna";4;10
"350780 Brodowski";2;13
"350790 Brotas";1;3
"350800 Buri";42;169
"350810 Buritama";7;21
"350820 Buritizal";19;47
"350830 Cabrália Paulista";33;117
"350840 Cabreúva";165;593
"350850 Caçapava";12;32
"350860 Cachoeira Paulista";20;53
"350870 Caconde";1;3
"350880 Cafelândia";58;158
"350910 Caiuá";7;18
"350930 Cajobi";45;143
"350945 Campina do Monte Alegre";5;18
"350950 Campinas";105;798
"350960 Campo Limpo Paulista";48;146
"350970 Campos do Jordão";15;68
"350995 Canas";6;18
"351000 Cândido Mota";219;677
"351010 Cândido Rodrigues";25;103
"351015 Canitar";2;14
"351020 Capão Bonito";109;491
"351030 Capela do Alto";81;279
"351040 Capivari";47;169
"351050 Caraguatatuba";278;985
"351060 Carapicuíba";28;141
"351070 Cardoso";6;15
"351080 Casa Branca";3;8
"351090 Cássia dos Coqueiros";1;2
"351100 Castilho";1;6
"351110 Catanduva";109;408
"351120 Catiguá";3;14
"351130 Cedral";1;2
"351140 Cerqueira César";41;141
"351150 Cerquilho";71;189
"351160 Cesário Lange";108;426
"351170 Charqueada";1;3
"355720 Chavantes";48;158
"351190 Clementina";48;181
"351200 Colina";50;157
"351210 Colômbia";6;19
"351220 Conchal";6;18
"351230 Conchas";39;161
"351240 Cordeirópolis";1;4
"351250 Coroados";8;29
"351260 Coronel Macedo";4;16
"351290 Cosmorama";1;2
"351300 Cotia";78;479
"351310 Cravinhos";1;8
"351320 Cristais Paulista";7;32
"351330 Cruzália";3;9
"351340 Cruzeiro";344;989
"351350 Cubatão";67;298
"351360 Cunha";10;33
"351370 Descalvado";3;7
"351390 Divinolândia";32;62
"351410 Dois Córregos";7;24
"351430 Dourado";2;12
"351450 Duartina";63;228
"351460 Dumont";2;4
"351480 Eldorado";4;23
"351490 Elias Fausto";1;3
"351492 Elisiário";3;8
"351500 Embu das Artes";11;38
"351510 Embu-Guaçu";3;6
"351512 Emilianópolis";13;53
"351515 Engenheiro Coelho";1;4
"351518 Espírito Santo do Pinhal";234;676
"355730 Estiva Gerbi";20;64
"351520 Estrela d'Oeste";96;313
"351530 Estrela do Norte";3;9
"351535 Euclides da Cunha Paulista";2;10
"351560 Fernando Prestes";6;18
"351550 Fernandópolis";247;872
"351565 Fernão";6;18
"351570 Ferraz de Vasconcelos";64;340
"351600 Flórida Paulista";75;237
"351610 Florínia";1;2
"351620 Franca";141;523
"351630 Francisco Morato";26;73
"351640 Franco da Rocha";2;5
"351650 Gabriel Monteiro";6;14
"351660 Gália";38;114
"351670 Garça";7;24
"351700 Getulina";5;15
"351710 Glicério";5;21
"351720 Guaiçara";15;57
"351730 Guaimbê";3;12
"351740 Guaíra";10;34
"351760 Guapiara";51;179
"351770 Guará";15;56
"351780 Guaraçaí";21;89
"351790 Guaraci";54;170
"351800 Guarani d'Oeste";4;10
"351810 Guarantã";5;17
"351820 Guararapes";1;5
"351830 Guararema";94;301
"351840 Guaratinguetá";121;452
"351850 Guareí";10;37
"351870 Guarujá";27;82
"351880 Guarulhos";1267;5100
"351885 Guatapará";3;10
"351890 Guzolândia";1;3
"351900 Herculândia";28;100
"351907 Hortolândia";3;9
"351910 Iacanga";5;35
"351920 Iacri";11;27
"351925 Iaras";13;41
"351930 Ibaté";207;688
"351940 Ibirá";197;588
"351950 Ibirarema";16;72
"351960 Ibitinga";18;41
"351970 Ibiúna";64;257
"352000 Igaraçu do Tietê";1;3
"352010 Igarapava";262;1304
"352020 Igaratá";2;26
"352044 Ilha Solteira";263;809
"352040 Ilhabela";9;31
"352050 Indaiatuba";142;400
"352060 Indiana";3;8
"352070 Indiaporã";2;8
"352080 Inúbia Paulista";87;334
"352100 Iperó";31;140
"352130 Ipuã";11;56
"352140 Iracemápolis";1;3
"352150 Irapuã";13;38
"352180 Itaí";10;39
"352190 Itajobi";26;88
"352210 Itanhaém";72;282
"352215 Itaóca";3;15
"352220 Itapecerica da Serra";23;61
"352230 Itapetininga";11;33
"352250 Itapevi";128;451
"352260 Itapira";409;1092
"352270 Itápolis";145;477
"352290 Itapuí";1;3
"352300 Itapura";23;102
"352310 Itaquaquecetuba";42;191
"352330 Itariri";3;10
"352340 Itatiba";136;364
"352350 Itatinga";28;98
"352360 Itirapina";1;8
"352370 Itirapuã";1;3
"352390 Itu";10;51
"352410 Ituverava";344;819
"352420 Jaborandi";6;26
"352440 Jacareí";26;89
"352450 Jaci";5;11
"352470 Jaguariúna";5;10
"352500 Jandira";321;943
"352510 Jardinópolis";4;48
"352520 Jarinu";6;10
"352530 Jaú";14;39
"352540 Jeriquara";4;10
"352550 Joanópolis";9;36
"352560 João Ramalho";1;5
"352570 José Bonifácio";19;55
