Internações SUS ;;;
AIHs PagasPermanência por Munic Ocor;;;
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE;;;
Período:2000-2007;;;
Munic Ocor;AIHs_Pagas;Permanência;
350010 Adamantina;1;1;1
350030 Aguaí;129;388;3,007751938
350050 Águas de Lindóia;311;789;2,536977492
350070 Agudos;43;171;3,976744186
350130 Álvares Machado;2;8;4
350160 Americana;1936;5125;2,647210744
350170 Américo Brasiliense;4;17;4,25
350190 Amparo;267;753;2,820224719
350210 Andradina;14;60;4,285714286
350220 Angatuba;298;829;2,781879195
350250 Aparecida;24;95;3,958333333
350270 Apiaí;106;361;3,405660377
350280 Araçatuba;353;1249;3,538243626
350310 Arandu;2;6;3
350320 Araraquara;9;35;3,888888889
350330 Araras;493;1679;3,405679513
350370 Ariranha;292;913;3,126712329
350400 Assis;1456;4214;2,894230769
350410 Atibaia;111;413;3,720720721
350420 Auriflama;3;10;3,333333333
350450 Avaré;381;1263;3,31496063
350490 Bananal;8;25;3,125
350530 Barra Bonita;3;11;3,666666667
350550 Barretos;691;2986;4,321273517
350570 Barueri;9;19;2,111111111
350580 Bastos;9;24;2,666666667
350590 Batatais;80;227;2,8375
350600 Bauru;684;3596;5,257309942
350610 Bebedouro;1;2;2
350635 Bertioga;2;6;3
350640 Bilac;333;732;2,198198198
350650 Birigui;414;1366;3,299516908
350680 Bocaina;326;1954;5,993865031
350700 Boituva;353;1272;3,603399433
350740 Borborema;4;13;3,25
350750 Botucatu;76;462;6,078947368
350760 Bragança Paulista;62;196;3,161290323
350790 Brotas;3;9;3
350800 Buri;68;259;3,808823529
350840 Cabreúva;412;1416;3,436893204
350850 Caçapava;33;114;3,454545455
350860 Cachoeira Paulista;8;9;1,125
350880 Cafelândia;185;484;2,616216216
350900 Caieiras;2;3;1,5
350925 Cajati;2;4;2
350950 Campinas;341;1902;5,57771261
350960 Campo Limpo Paulista;130;400;3,076923077
350970 Campos do Jordão;102;318;3,117647059
350990 Cananéia;1;3;3
351000 Cândido Mota;400;1208;3,02
351020 Capão Bonito;237;965;4,071729958
351040 Capivari;107;408;3,813084112
351050 Caraguatatuba;501;1729;3,451097804
351060 Carapicuíba;33;162;4,909090909
351080 Casa Branca;46;158;3,434782609
351100 Castilho;3;11;3,666666667
351110 Catanduva;344;1377;4,002906977
351140 Cerqueira César;188;587;3,122340426
351150 Cerquilho;163;467;2,865030675
351160 Cesário Lange;279;1076;3,856630824
355720 Chavantes;173;585;3,38150289
351190 Clementina;160;608;3,8
351200 Colina;115;338;2,939130435
351210 Colômbia;78;212;2,717948718
351230 Conchas;115;411;3,573913043
351300 Cotia;116;758;6,534482759
351310 Cravinhos;8;21;2,625
351340 Cruzeiro;926;2723;2,940604752
351350 Cubatão;108;509;4,712962963
351360 Cunha;87;249;2,862068966
351370 Descalvado;10;32;3,2
351380 Diadema;12;50;4,166666667
351390 Divinolândia;96;247;2,572916667
351410 Dois Córregos;273;809;2,963369963
351430 Dourado;7;36;5,142857143
351440 Dracena;10;33;3,3
351450 Duartina;425;1417;3,334117647
351480 Eldorado;7;35;5
351500 Embu das Artes;1;2;2
351510 Embu-Guaçu;10;25;2,5
351518 Espírito Santo do Pinhal;465;1411;3,034408602
351520 Estrela d'Oeste;241;653;2,709543568
351550 Fernandópolis;896;2815;3,141741071
351570 Ferraz de Vasconcelos;111;764;6,882882883
351600 Flórida Paulista;308;889;2,886363636
351620 Franca;285;1096;3,845614035
351630 Francisco Morato;2;6;3
351640 Franco da Rocha;21;76;3,619047619
351660 Gália;198;593;2,994949495
351670 Garça;19;64;3,368421053
351760 Guapiara;107;396;3,700934579
351780 Guaraçaí;268;847;3,160447761
351790 Guaraci;1;2;2
351810 Guarantã;2;4;2
351830 Guararema;234;700;2,991452991
351840 Guaratinguetá;503;1803;3,584493042
351870 Guarujá;91;430;4,725274725
351880 Guarulhos;2159;8079;3,74201019
351900 Herculândia;15;58;3,866666667
351907 Hortolândia;21;66;3,142857143
351910 Iacanga;7;19;2,714285714
351930 Ibaté;383;1039;2,712793734
351940 Ibirá;1065;3160;2,96713615
351960 Ibitinga;162;607;3,74691358
351970 Ibiúna;156;691;4,429487179
351990 Iepê;13;79;6,076923077
352010 Igarapava;541;2356;4,354898336
352030 Iguape;1;2;2
352044 Ilha Solteira;545;1725;3,165137615
352040 Ilhabela;8;17;2,125
352050 Indaiatuba;266;730;2,744360902
352090 Ipaussu;6;23;3,833333333
352160 Irapuru;2;4;2
352180 Itaí;11;48;4,363636364
352190 Itajobi;47;218;4,638297872
352210 Itanhaém;94;368;3,914893617
352220 Itapecerica da Serra;40;134;3,35
352230 Itapetininga;1;3;3
352240 Itapeva;10;47;4,7
352250 Itapevi;6;23;3,833333333
352260 Itapira;893;2592;2,902575588
352270 Itápolis;501;1665;3,323353293
352280 Itaporanga;8;22;2,75
352290 Itapuí;1;5;5
352310 Itaquaquecetuba;23;100;4,347826087
352320 Itararé;110;315;2,863636364
352340 Itatiba;345;1100;3,188405797
