 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030;;;;;;;;;;;;;;;;;
População residente por Unidade da Federação e Ano;;;;;;;;;;;;;;;;;
Faixa Etária 1: 0 a 4 anos;;;;;;;;;;;;;;;;;
Período:2000-2016;;;;;;;;;;;;;;;;;
Unidade da Federação;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
11 Rondônia;160573;162084;163196;164048;164765;165556;162658;159847;157101;154445;151892;149458;147144;144943;142826;140771;138798
12 Acre;84773;86180;87409;88441;89283;90023;90106;90014;89775;89420;88960;88426;87845;87220;86554;85849;85089
13 Amazonas;407544;409695;411637;413550;415747;418904;420182;420520;420024;418820;417019;414748;412122;409194;405980;402454;398509
14 Roraima;48084;49773;51244;52513;53606;54577;54650;54553;54297;53903;53396;52833;52272;51728;51200;50684;50165
15 Pará;835174;838558;841665;844575;847438;850903;848397;844212;838448;831347;823194;814180;804490;794380;783993;773411;762492
16 Amapá;74672;77654;80057;82079;83669;84837;84773;84657;84275;83669;82889;82002;81085;80177;79310;78505;77764
17 Tocantins;142553;144253;145775;147049;147999;148630;147614;146299;144724;142948;141037;139050;137037;135028;133055;131141;129286
21 Maranhão;734398;742268;750771;758396;763554;765243;766404;764700;760173;753035;743677;732403;719528;705496;690776;675876;660953
22 Piauí;312483;318704;323784;326757;326499;321982;316493;310375;303665;296465;288922;281159;273293;265505;258000;251014;244664
23 Ceará;852333;852700;850552;845573;837362;826025;811021;796125;781383;766911;752833;739224;726141;713659;701860;690831;680505
24 Rio Grande do Norte;295277;298343;300593;301759;301494;299657;295521;291382;287200;283000;278834;274717;270660;266710;262920;259349;256027
25 Paraíba;347630;348729;350312;351981;353266;353967;351590;348692;345258;341344;337051;332378;327319;321975;316471;310943;305512
26 Pernambuco;851750;856764;859693;859923;856815;850489;838639;826245;813301;799967;786467;772862;759210;745749;732712;720322;708688
27 Alagoas;357734;358742;358854;357850;355610;352592;347724;342239;336215;329796;323146;316332;309421;302574;295934;289640;283664
28 Sergipe;207989;210954;212810;213477;212852;211015;206846;202759;198764;194910;191254;187809;184585;181609;178904;176488;174361
29 Bahia;1433980;1419689;1405424;1390610;1374912;1359186;1342046;1323313;1303314;1282462;1261213;1239677;1217917;1196281;1175003;1154241;1134070
31 Minas Gerais;1680973;1675650;1666107;1652716;1635819;1616387;1587594;1559692;1532612;1506462;1481367;1457308;1434298;1412425;1391618;1371765;1352750
32 Espírito Santo;307461;307133;306108;304127;300950;296416;293972;291383;288702;285976;283247;280533;277844;275219;272680;270237;267843
33 Rio de Janeiro;1317637;1305699;1287095;1262990;1234999;1205315;1181362;1158575;1137134;1117133;1098619;1081641;1066224;1052291;1039689;1028195;1017525
35 São Paulo;3372041;3391771;3396789;3385852;3357779;3311995;3262511;3213821;3165935;3118982;3073135;3028995;2987095;2947378;2909839;2874406;2841127
41 Paraná;913429;907091;899222;890666;882329;875404;859664;844563;830087;816284;803186;790866;779316;768412;758051;748103;738585
42 Santa Catarina;498681;491560;484097;476823;470320;465280;459664;454887;450889;447637;445098;443152;441651;440532;439722;439113;438584
43 Rio Grande do Sul;877450;872241;863612;852489;839861;826928;805702;786142;768131;751616;736518;722801;710420;699242;689091;679752;671105
50 Mato Grosso do Sul;215522;215735;216221;217221;218985;221895;220955;219862;218606;217219;215715;214124;212450;210672;208767;206704;204543
51 Mato Grosso;267981;269069;270488;272470;275238;279159;277887;276420;274731;272853;270814;268633;266324;263892;261321;258579;255724
52 Goiás;501257;507934;512513;515229;516346;516410;509539;502853;496379;490199;484368;478880;473769;469094;464826;460912;457302
53 Distrito Federal;215131;214664;213319;211354;209113;207038;205369;204139;203358;203017;203106;203614;204498;205671;207031;208455;209853
Total;17314510;17333637;17309347;17240518;17126610;16975813;16748883;16518269;16284481;16049820;15816957;15587805;15363958;15147056;14938133;14737740;14545488
 Fonte:  IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
